crawl_date,retailer_site,Sub-Brand,Subsector,Brand,sub_category,sku,upc,average_ratings,total_ratings
2023-12-01,Costco Canada English,null,null,null,null,934314,047400507579,4.1,81.0
2023-12-01,Costco Canada English,null,null,null,null,1707599,030772086841,1.6,16.0
2023-12-01,Costco Canada English,null,null,null,null,1273931,047400669819,4.4,650.0
2023-12-01,Costco Canada English,null,null,null,null,1633623,030772058923,3.7,7.0
2023-12-01,Costco Canada English,null,null,null,null,1218587,037000731122,4.7,1295.0
2023-12-01,Costco Canada English,null,null,null,null,1407261,056100082347,4.6,4503.0
2023-12-01,Costco Canada English,null,null,null,null,1488073,069055129814,4.4,86.0
2023-12-01,Costco Canada English,null,null,null,null,4227777,037000949282,1.0,2.0
2023-12-01,Costco Canada English,null,null,null,null,1515730,047400674608,4.8,694.0
2023-12-01,Costco Canada English,null,null,null,Pads,767171,037000847021,4.6,458.0
2023-12-01,Costco Canada English,null,null,null,null,1652709,030772056172,2.6,5.0
2023-12-01,Costco Canada English,null,null,null,null,1226088,037000415596,3.0,6.0
2023-12-01,Costco Canada English,null,null,null,null,1677483,069055137666,4.7,1898.0
2023-12-01,Costco Canada English,null,null,null,null,1417309,037000455264,4.7,584.0
2023-12-01,Costco Canada English,null,null,null,Pads,975107,037000847045,4.6,512.0
2023-12-01,Costco Canada English,null,null,null,null,1683808,075609207693,4.6,1658.0
2023-12-01,Costco Canada English,null,null,null,null,1605309,056100057994,4.2,5.0
2023-12-01,Costco Canada English,null,null,null,null,8872820,012044045039,5.0,1.0
2023-12-01,Costco Canada English,null,null,null,null,4481870,047400561274,4.2,5102.0
2023-12-01,Costco Canada English,null,null,null,null,1631293,075609203114,1.0,1.0
2023-12-01,Costco Canada English,null,null,null,null,225747,751774559941,4.4,34.0
2023-12-01,Costco Canada English,null,null,null,null,1458554,037000640363,1.0,2.0
2023-12-01,Costco Canada English,null,null,null,null,1467614,069055887974,4.3,115.0
2023-12-01,Costco Canada English,null,null,null,null,362864,056100075974,4.2,109.0
2023-12-01,Costco Canada English,null,null,null,null,1480427,037000684190,4.6,165.0
2023-12-01,Costco Canada English,null,null,null,null,1675232,030772048863,3.9,129.0
2023-12-01,Costco Canada English,null,null,null,null,1407261,056100082347,4.6,4503.0
2023-12-01,Costco Canada English,null,null,null,null,1662712,047400678453,4.6,1542.0
2023-12-01,Costco Canada English,null,null,null,null,407362,751774510300,3.3,7.0
2023-12-01,Costco Canada English,null,null,null,null,1515730,047400674608,4.8,694.0
2023-12-01,Costco Canada English,null,null,null,Pads,777171,037000847038,3.7,9.0
2023-12-01,Costco Canada English,null,null,null,null,407365,051774510080,4.2,9.0
2023-12-01,Costco Canada English,null,null,null,null,225858,751774252590,3.0,2.0
2023-12-01,Costco Canada English,null,null,null,null,1723990,069055888414,4.0,237.0
2023-12-01,Costco Canada English,null,null,null,null,1645656,037000491491,4.6,869.0
2023-12-01,Costco Canada English,null,null,null,null,407362,051774510158,3.3,7.0
2023-12-01,Costco Canada English,null,null,null,null,1517853,056100084280,3.5,454.0
2023-12-01,Costco Canada English,null,null,null,null,840553,037000221449,2.5,11.0
2023-12-02,Costco Canada English,null,null,null,null,225747,751774559941,4.4,34.0
2023-12-02,Costco Canada English,null,null,null,Shampoo,2312452,030772098714,4.8,720.0
2023-12-02,Costco Canada English,null,null,null,null,1652709,030772056172,2.6,5.0
2023-12-02,Costco Canada English,null,null,null,null,1707599,030772086841,1.6,16.0
2023-12-02,Costco Canada English,null,null,null,null,1488073,069055129814,4.4,86.0
2023-12-02,Costco Canada English,null,null,null,null,1677483,069055137666,4.7,1898.0
2023-12-02,Costco Canada English,null,null,null,null,1218587,037000731122,4.7,1295.0
2023-12-02,Costco Canada English,null,null,null,Pads,975107,037000847045,4.6,512.0
2023-12-02,Costco Canada English,null,null,null,null,1458554,037000640363,1.0,2.0
2023-12-02,Costco Canada English,null,null,null,null,1407261,056100082347,4.6,4503.0
2023-12-02,Costco Canada English,null,null,null,null,934314,047400507579,4.1,81.0
2023-12-02,Costco Canada English,null,null,null,Shampoo,2312452,030772098714,4.8,720.0
2023-12-02,Costco Canada English,null,null,null,null,362864,056100075974,4.2,109.0
2023-12-02,Costco Canada English,null,null,null,null,1605309,056100057994,4.2,5.0
2023-12-02,Costco Canada English,null,null,null,null,407365,751774510324,4.2,9.0
2023-12-02,Costco Canada English,null,null,null,Pads,777171,037000847038,3.7,9.0
2023-12-02,Costco Canada English,null,null,null,null,1515730,047400674608,4.8,694.0
2023-12-02,Costco Canada English,null,null,null,null,1683808,075609207693,4.6,1658.0
2023-12-02,Costco Canada English,null,null,null,null,4227777,037000949282,1.0,2.0
2023-12-02,Costco Canada English,null,null,null,null,407365,051774510080,4.2,9.0
2023-12-02,Costco Canada English,null,null,null,null,407362,051774510158,3.3,7.0
2023-12-02,Costco Canada English,null,null,null,null,1638885,030772043929,4.5,383.0
2023-12-02,Costco Canada English,null,null,null,null,3161251,037000682943,4.7,456.0
2023-12-02,Costco Canada English,null,null,null,null,1226088,037000415596,3.0,6.0
2023-12-02,Costco Canada English,null,null,null,Pads,767171,037000847021,4.6,458.0
2023-12-02,Costco Canada English,null,null,null,null,1273931,047400669819,4.4,650.0
2023-12-02,Costco Canada English,null,null,null,null,8827195,037000589211,4.6,536.0
2023-12-02,Costco Canada English,null,null,null,null,1633623,030772058923,3.7,7.0
2023-12-02,Costco Canada English,null,null,null,null,4481870,047400561274,4.2,5102.0
2023-12-02,Costco Canada English,null,null,null,null,1467614,069055887974,4.3,115.0
2023-12-02,Costco Canada English,null,null,null,null,1631293,075609203114,1.0,1.0
2023-12-02,Costco Canada English,null,null,null,null,1480427,037000684190,4.6,166.0
2023-12-02,Costco Canada English,null,null,null,null,1675232,030772048863,3.9,129.0
2023-12-02,Costco Canada English,null,null,null,null,840553,037000221449,2.5,11.0
2023-12-02,Costco Canada English,null,null,null,null,1417309,037000455264,4.7,584.0
2023-12-02,Costco Canada English,null,null,null,null,1406250,069055882832,5.0,1.0
2023-12-02,Costco Canada English,null,null,null,null,1662712,047400678453,4.6,1542.0
2023-12-02,Costco Canada English,null,null,null,null,407362,751774510300,3.3,7.0
2023-12-02,Costco Canada English,null,null,null,null,1517853,056100084280,3.5,454.0
2023-12-02,Costco Canada English,null,null,null,null,1723990,069055888414,4.0,237.0
2023-12-02,Costco Canada English,null,null,null,null,8872820,012044045039,5.0,1.0
2023-12-02,Costco Canada English,null,null,null,null,1467614,069055887974,4.3,115.0
2023-12-02,Costco Canada English,null,null,null,null,1645656,037000491491,4.6,869.0
2023-12-02,Costco Canada English,null,null,null,null,1407261,056100082347,4.6,4503.0
2023-12-02,Costco Canada English,null,null,null,null,225858,751774252590,3.0,2.0
2023-12-02,Costco Canada English,null,null,null,null,1653524,030772042045,3.5,2.0
2023-12-02,Costco Canada English,null,null,null,null,1457015,056100083115,4.6,4516.0
2023-12-02,Costco Canada English,null,null,null,null,1515730,047400674608,4.8,694.0
2023-12-03,Costco Canada English,null,null,null,null,1515730,047400674608,4.8,694.0
2023-12-03,Costco Canada English,null,null,null,null,1273931,047400669819,4.4,650.0
2023-12-03,Costco Canada English,null,null,null,null,225747,751774559941,4.4,34.0
2023-12-03,Costco Canada English,null,null,null,null,1406250,069055882832,5.0,1.0
2023-12-03,Costco Canada English,null,null,null,null,1653524,030772042045,3.5,2.0
2023-12-03,Costco Canada English,null,null,null,null,4227777,037000949282,1.0,2.0
2023-12-03,Costco Canada English,null,null,null,null,407362,751774510300,3.3,7.0
2023-12-03,Costco Canada English,null,null,null,Pads,777171,037000847038,3.7,9.0
2023-12-03,Costco Canada English,null,null,null,null,934314,047400507579,4.1,81.0
2023-12-03,Costco Canada English,null,null,null,Shampoo,2312452,030772098714,4.8,720.0
2023-12-03,Costco Canada English,null,null,null,null,1633623,030772058923,3.7,7.0
2023-12-03,Costco Canada English,null,null,null,null,1407261,056100082347,4.6,4503.0
2023-12-03,Costco Canada English,null,null,null,null,8827195,037000589211,4.6,537.0
2023-12-03,Costco Canada English,null,null,null,null,1517853,056100084280,3.5,454.0
2023-12-03,Costco Canada English,null,null,null,null,225858,751774252590,3.0,2.0
2023-12-03,Costco Canada English,null,null,null,null,1638885,030772043929,4.5,383.0
2023-12-03,Costco Canada English,null,null,null,null,1662712,047400678453,4.6,1542.0
2023-12-03,Costco Canada English,null,null,null,null,1457015,056100083115,4.6,4516.0
2023-12-03,Costco Canada English,null,null,null,null,1631293,075609203114,1.0,1.0
2023-12-03,Costco Canada English,null,null,null,null,407365,051774510080,4.2,9.0
2023-12-03,Costco Canada English,null,null,null,null,1467614,069055887974,4.3,115.0
2023-12-03,Costco Canada English,null,null,null,null,1677483,069055137666,4.7,1898.0
2023-12-03,Costco Canada English,null,null,null,null,1417309,037000455264,4.7,584.0
2023-12-03,Costco Canada English,null,null,null,Pads,767171,037000847021,4.6,458.0
2023-12-03,Costco Canada English,null,null,null,null,407365,751774510324,4.2,9.0
2023-12-03,Costco Canada English,null,null,null,null,1683808,075609207693,4.6,1658.0
2023-12-03,Costco Canada English,null,null,null,null,1488073,069055129814,4.4,86.0
2023-12-03,Costco Canada English,null,null,null,null,3161251,037000682943,4.7,456.0
2023-12-03,Costco Canada English,null,null,null,null,362864,056100075974,4.2,109.0
2023-12-03,Costco Canada English,null,null,null,Pads,975107,037000847045,4.6,512.0
2023-12-03,Costco Canada English,null,null,null,null,1226088,037000415596,3.0,6.0
2023-12-03,Costco Canada English,null,null,null,null,1605309,056100057994,4.2,5.0
2023-12-03,Costco Canada English,null,null,null,null,1723990,069055888414,4.0,237.0
2023-12-03,Costco Canada English,null,null,null,null,1467614,069055887974,4.3,115.0
2023-12-03,Costco Canada English,null,null,null,null,4481870,047400561274,4.2,5102.0
2023-12-03,Costco Canada English,null,null,null,null,1458554,037000640363,1.0,2.0
2023-12-03,Costco Canada English,null,null,null,null,1218587,037000731122,4.7,1295.0
2023-12-03,Costco Canada English,null,null,null,null,1407261,056100082347,4.6,4503.0
2023-12-03,Costco Canada English,null,null,null,null,8872820,012044045039,5.0,1.0
2023-12-03,Costco Canada English,null,null,null,null,1480427,037000684190,4.6,166.0
2023-12-03,Costco Canada English,null,null,null,null,407362,051774510158,3.3,7.0
2023-12-03,Costco Canada English,null,null,null,null,1707599,030772086841,1.6,16.0
2023-12-03,Costco Canada English,null,null,null,null,1652709,030772056172,2.6,5.0
2023-12-03,Costco Canada English,null,null,null,null,840553,037000221449,2.5,11.0
2023-12-03,Costco Canada English,null,null,null,Shampoo,2312452,030772098714,4.8,720.0
2023-12-03,Costco Canada English,null,null,null,null,1645656,037000491491,4.6,869.0
2023-12-03,Costco Canada English,null,null,null,null,1515730,047400674608,4.8,694.0
2023-12-03,Costco Canada English,null,null,null,null,1675232,030772048863,3.9,129.0
2023-12-04,Costco Canada English,null,null,null,null,1218587,037000731122,4.7,1295.0
2023-12-04,Costco Canada English,null,null,null,null,225747,751774559941,4.4,34.0
2023-12-04,Costco Canada English,null,null,null,null,1677483,069055137666,4.7,1898.0
2023-12-04,Costco Canada English,null,null,null,null,407362,051774510158,3.3,7.0
2023-12-04,Costco Canada English,null,null,null,null,1273931,047400669819,4.4,650.0
2023-12-04,Costco Canada English,null,null,null,null,1662712,047400678453,4.6,1542.0
2023-12-04,Costco Canada English,null,null,null,null,1467614,069055887974,4.3,115.0
2023-12-04,Costco Canada English,null,null,null,null,1407261,056100082347,4.6,4503.0
2023-12-04,Costco Canada English,null,null,null,null,1652709,030772056172,2.6,5.0
2023-12-04,Costco Canada English,null,null,null,null,1417309,037000455264,4.7,584.0
2023-12-04,Costco Canada English,null,null,null,null,3161251,037000682943,4.7,456.0
2023-12-04,Costco Canada English,null,null,null,null,934314,047400507579,4.1,81.0
2023-12-04,Costco Canada English,null,null,null,null,1605309,056100057994,4.2,5.0
2023-12-04,Costco Canada English,null,null,null,null,1653524,030772042045,3.5,2.0
2023-12-04,Costco Canada English,null,null,null,Shampoo,2312452,030772098714,4.8,720.0
2023-12-04,Costco Canada English,null,null,null,null,1517853,056100084280,3.5,454.0
2023-12-04,Costco Canada English,null,null,null,null,1480427,037000684190,4.6,166.0
2023-12-04,Costco Canada English,null,null,null,null,1631293,075609203114,1.0,1.0
2023-12-04,Costco Canada English,null,null,null,null,1707599,030772086841,1.6,16.0
2023-12-04,Costco Canada English,null,null,null,Pads,767171,037000847021,4.6,458.0
2023-12-04,Costco Canada English,null,null,null,null,1723990,069055888414,4.0,237.0
2023-12-04,Costco Canada English,null,null,null,null,1457015,056100083115,4.6,4516.0
2023-12-04,Costco Canada English,null,null,null,null,1467614,069055887974,4.3,115.0
2023-12-04,Costco Canada English,null,null,null,null,4481870,047400561274,4.2,5102.0
2023-12-04,Costco Canada English,null,null,null,null,4227777,037000949282,1.0,2.0
2023-12-04,Costco Canada English,null,null,null,null,1406250,069055882832,5.0,1.0
2023-12-04,Costco Canada English,null,null,null,null,1675232,030772048863,3.9,129.0
2023-12-04,Costco Canada English,null,null,null,Pads,975107,037000847045,4.6,512.0
2023-12-04,Costco Canada English,null,null,null,null,1458554,037000640363,1.0,2.0
2023-12-04,Costco Canada English,null,null,null,null,407365,751774510324,4.2,9.0
2023-12-04,Costco Canada English,null,null,null,null,407365,051774510080,4.2,9.0
2023-12-04,Costco Canada English,null,null,null,null,1638885,030772043929,4.5,383.0
2023-12-04,Costco Canada English,null,null,null,null,1515730,047400674608,4.8,694.0
2023-12-04,Costco Canada English,null,null,null,null,1407261,056100082347,4.6,4503.0
2023-12-04,Costco Canada English,null,null,null,null,1515730,047400674608,4.8,694.0
2023-12-04,Costco Canada English,null,null,null,null,1488073,069055129814,4.4,86.0
2023-12-04,Costco Canada English,null,null,null,Pads,777171,037000847038,3.7,9.0
2023-12-04,Costco Canada English,null,null,null,null,8827195,037000589211,4.6,537.0
2023-12-04,Costco Canada English,null,null,null,null,1645656,037000491491,4.6,869.0
2023-12-04,Costco Canada English,null,null,null,null,362864,056100075974,4.2,109.0
2023-12-04,Costco Canada English,null,null,null,null,1683808,075609207693,4.6,1658.0
2023-12-04,Costco Canada English,null,null,null,null,1226088,037000415596,3.0,6.0
2023-12-04,Costco Canada English,null,null,null,null,8872820,012044045039,5.0,1.0
2023-12-04,Costco Canada English,null,null,null,null,225858,751774252590,3.0,2.0
2023-12-04,Costco Canada English,null,null,null,Shampoo,2312452,030772098714,4.8,720.0
2023-12-04,Costco Canada English,null,null,null,null,1633623,030772058923,3.7,7.0
2023-12-04,Costco Canada English,null,null,null,null,407362,751774510300,3.3,7.0
2023-12-04,Costco Canada English,null,null,null,null,840553,037000221449,2.5,11.0
2023-12-05,Costco Canada English,null,null,null,null,1515730,047400674608,4.8,694.0
2023-12-05,Costco Canada English,null,null,null,null,8872820,012044045039,5.0,1.0
2023-12-05,Costco Canada English,null,null,null,null,3161251,037000682943,4.6,457.0
2023-12-05,Costco Canada English,null,null,null,null,1723990,069055888414,4.0,237.0
2023-12-05,Costco Canada English,null,null,null,Shampoo,2312452,030772098714,4.8,720.0
2023-12-05,Costco Canada English,null,null,null,null,1458554,037000640363,1.0,2.0
2023-12-05,Costco Canada English,null,null,null,Pads,767171,037000847021,4.6,458.0
2023-12-05,Costco Canada English,null,null,null,null,1488073,069055129814,4.4,86.0
2023-12-05,Costco Canada English,null,null,null,null,1683808,075609207693,4.6,1658.0
2023-12-05,Costco Canada English,null,null,null,null,1707599,030772086841,1.6,16.0
2023-12-05,Costco Canada English,null,null,null,Pads,975107,037000847045,4.6,512.0
2023-12-05,Costco Canada English,null,null,null,null,407362,051774510158,3.3,7.0
